地区,类型,畜牧,种植,水产
朝阳区,企业,3,14,3
朝阳区,合作社,0,0,1
朝阳区,个人,0,4,2
丰台区,企业,4,13,1
丰台区,合作社,0,3,0
丰台区,个人,6,3,0
海淀区,企业,3,27,5
海淀区,合作社,0,8,0
海淀区,个人,24,47,10
门头沟区,企业,8,7,3
门头沟区,合作社,9,27,2
门头沟区,个人,58,247,2
房山区,企业,211,68,40
房山区,合作社,27,124,7
房山区,个人,1209,321,26
通州区,企业,114,104,13
通州区,合作社,14,108,3
通州区,个人,321,1739,55
顺义区,企业,62,110,20
顺义区,合作社,6,137,1
顺义区,个人,80,79,57
昌平区,企业,53,117,10
昌平区,合作社,13,49,3
昌平区,个人,277,468,14
大兴区,企业,119,61,6
大兴区,合作社,44,275,4
大兴区,个人,335,5007,5
怀柔区,企业,51,32,49
怀柔区,合作社,61,45,24
怀柔区,个人,427,2030,34
平谷区,企业,83,31,40
平谷区,合作社,93,165,13
平谷区,个人,889,2216,195
密云区,企业,108,30,18
密云区,合作社,36,115,16
密云区,个人,825,4423,25
延庆区,企业,48,50,4
延庆区,合作社,30,59,1
延庆区,个人,458,4846,13
